dim,num hidden nodes 1,num hidden nodes 2,Train Accuracy,Val Accuracy,Test Accuracy
67,40,40,0.6422857142857140,0.346,0.302
67,40,60,0.6431428571428570,0.345,0.3
67,40,80,0.6362857142857140,0.35,0.314
67,60,40,0.6348571428571430,0.35,0.32
67,60,60,0.6377142857142860,0.351,0.31
67,60,80,0.6377142857142860,0.342,0.308
67,80,60,0.6402857142857140,0.347,0.3
67,80,40,0.6405714285714290,0.35,0.306
67,80,80,0.636,0.344,0.316
69,40,40,0.6388571428571430,0.348,0.31
69,40,60,0.6388571428571430,0.349,0.298
69,40,80,0.6388571428571430,0.348,0.304
69,60,40,0.6411428571428570,0.349,0.314
69,60,60,0.6405714285714290,0.347,0.3
69,60,80,0.6351428571428570,0.352,0.304
69,80,40,0.6377142857142860,0.355,0.31
69,80,60,0.6394285714285720,0.347,0.308
69,80,80,0.6408571428571430,0.347,0.302
71,40,40,0.6374285714285720,0.347,0.306
71,40,60,0.6374285714285720,0.352,0.318
71,40,80,0.6314285714285720,0.35,0.314
71,60,40,0.6345714285714290,0.347,0.312
71,60,60,0.6388571428571430,0.351,0.312
71,60,80,0.6394285714285720,0.349,0.304
71,80,40,0.6354285714285720,0.355,0.304
71,80,60,0.6374285714285720,0.35,0.31
71,80,80,0.6388571428571430,0.349,0.308